timestamp,Infrared to Red Signal Ratio
02/01/20 00:00:18,0
02/01/20 00:01:17,4
02/01/20 00:02:18,15
02/01/20 00:03:18,0
02/01/20 00:04:18,22
02/01/20 00:05:18,9
02/01/20 00:06:18,43
02/01/20 00:07:18,8
02/01/20 00:08:18,6
02/01/20 00:09:19,-22
02/01/20 00:10:19,0
02/01/20 00:11:19,-7
02/01/20 00:12:19,-2
02/01/20 00:13:19,-33
02/01/20 00:14:19,-11
02/01/20 00:15:20,-6
02/01/20 00:16:20,-8
02/01/20 00:17:20,-3
02/01/20 00:18:20,-10
02/01/20 00:19:20,-15
02/01/20 00:20:21,1
02/01/20 00:21:21,-30
02/01/20 00:22:21,0
02/01/20 00:23:21,-18
02/01/20 00:24:21,0
02/01/20 00:25:21,-8
02/01/20 00:26:22,-10
02/01/20 00:27:22,-14
02/01/20 00:28:22,-5
02/01/20 00:29:22,0
02/01/20 00:30:22,0
02/01/20 00:31:22,-1
02/01/20 00:32:22,-20
02/01/20 00:33:23,-6
02/01/20 00:34:23,0
02/01/20 00:35:23,22
02/01/20 00:36:23,18
02/01/20 00:37:23,0
02/01/20 00:38:23,-6
02/01/20 00:39:24,0
02/01/20 00:40:24,6
02/01/20 00:41:24,0
02/01/20 00:42:24,1
02/01/20 00:43:24,-1
02/01/20 00:44:24,0
02/01/20 00:45:25,-6
02/01/20 00:46:25,-3
02/01/20 00:47:25,-1
02/01/20 00:48:25,-2
02/01/20 00:49:25,0
02/01/20 00:50:25,1
02/01/20 00:51:25,-2
02/01/20 00:52:26,-2
02/01/20 00:53:26,-1
02/01/20 00:54:26,1
02/01/20 00:55:26,1
02/01/20 00:56:26,-1
02/01/20 00:57:26,0
02/01/20 00:58:26,-1
02/01/20 00:59:27,-1
02/01/20 01:00:27,6
02/01/20 01:01:27,2
02/01/20 01:02:27,-6
02/01/20 01:03:27,-2
02/01/20 01:04:27,-2
02/01/20 01:05:27,-1
02/01/20 01:06:28,-5
02/01/20 01:07:28,-2
02/01/20 01:08:28,2
02/01/20 01:09:28,-3
02/01/20 01:10:28,-2
02/01/20 01:11:28,0
02/01/20 01:12:29,0
02/01/20 01:13:29,-3
02/01/20 01:14:29,-3
02/01/20 01:15:29,-1
02/01/20 01:16:29,0
02/01/20 01:17:29,-2
02/01/20 01:18:29,-12
02/01/20 01:19:30,-5
02/01/20 01:20:30,1
02/01/20 01:21:30,0
02/01/20 01:22:30,-5
02/01/20 01:23:30,-5
02/01/20 01:24:30,-5
02/01/20 01:25:31,3
02/01/20 01:26:31,-6
02/01/20 01:27:31,2
02/01/20 01:28:31,-10
02/01/20 01:29:31,-6
02/01/20 01:30:31,1
02/01/20 01:31:31,-5
02/01/20 01:32:32,-4
02/01/20 01:33:32,0
02/01/20 01:34:32,0
02/01/20 01:35:32,-1
02/01/20 01:36:32,-10
02/01/20 01:37:33,-2
02/01/20 01:38:33,0
02/01/20 01:39:33,0
02/01/20 01:40:33,-3
02/01/20 01:41:33,21
02/01/20 01:42:33,3
02/01/20 01:43:34,-28
02/01/20 01:44:34,13
02/01/20 01:45:34,-2
02/01/20 01:46:34,-49
02/01/20 01:47:34,-11
02/01/20 01:48:34,-10
02/01/20 01:49:34,5
02/01/20 01:50:34,0
02/01/20 01:51:35,1
02/01/20 01:52:35,-1
02/01/20 01:53:35,-1
02/01/20 01:54:35,-1
02/01/20 01:55:35,2
02/01/20 01:56:35,-2
02/01/20 01:57:35,15
02/01/20 01:58:35,-8
02/01/20 01:59:38,10
02/01/20 02:00:38,-33
02/01/20 02:01:38,-1
02/01/20 02:02:38,13
02/01/20 02:03:38,-18
02/01/20 02:04:38,1
02/01/20 02:05:38,-1
02/01/20 02:06:39,43
02/01/20 02:07:39,5
02/01/20 02:08:39,-4
02/01/20 02:09:40,0
02/01/20 02:10:40,1
02/01/20 02:11:40,14
02/01/20 02:12:40,6
02/01/20 02:13:41,6
02/01/20 02:14:41,-1
02/01/20 02:15:41,1
02/01/20 02:16:41,5
02/01/20 02:17:41,21
02/01/20 02:18:41,9
02/01/20 02:19:42,17
02/01/20 02:20:42,0
02/01/20 02:21:42,1
