timestamp,Infrared to Red Signal Ratio
02/13/20 00:00:23,-1
02/13/20 00:01:23,0
02/13/20 00:02:23,-2
02/13/20 00:03:23,0
02/13/20 00:04:23,-6
02/13/20 00:05:23,-72
02/13/20 00:06:23,-21
02/13/20 00:07:23,-30
02/13/20 00:08:24,2
02/13/20 00:09:24,-51
02/13/20 00:10:24,1
02/13/20 00:11:24,-2
02/13/20 00:12:24,-7
02/13/20 00:13:24,23
02/13/20 00:14:25,-19
02/13/20 00:15:25,-2
02/13/20 00:16:25,-1
02/13/20 00:17:25,0
02/13/20 00:18:25,-6
02/13/20 00:19:25,-3
02/13/20 00:20:25,-5
02/13/20 00:21:26,-1
02/13/20 00:22:26,-7
02/13/20 00:23:26,-1
02/13/20 00:24:26,0
02/13/20 00:25:26,1
02/13/20 00:26:27,-4
02/13/20 00:27:27,-9
02/13/20 00:28:27,26
02/13/20 00:29:27,0
02/13/20 00:30:27,0
02/13/20 00:31:27,0
02/13/20 00:32:28,0
02/13/20 00:33:28,-1
02/13/20 00:34:28,-1
02/13/20 00:35:28,-10
02/13/20 00:36:28,-7
02/13/20 00:37:29,1
02/13/20 00:38:29,0
02/13/20 00:39:29,-1
02/13/20 00:40:29,-1
02/13/20 00:41:30,-3
02/13/20 00:42:30,-5
02/13/20 00:43:30,0
02/13/20 00:44:30,0
02/13/20 00:45:30,-2
02/13/20 00:46:30,-5
02/13/20 00:47:30,-5
02/13/20 00:48:31,2
02/13/20 00:49:31,-1
02/13/20 00:50:31,11
02/13/20 00:51:31,6
02/13/20 00:52:31,0
02/13/20 00:53:31,-23
02/13/20 00:54:32,0
02/13/20 00:55:32,1
02/13/20 00:56:32,8
02/13/20 00:57:32,-1
02/13/20 00:58:32,-9
02/13/20 00:59:32,3
02/13/20 01:00:32,29
02/13/20 01:01:33,8
02/13/20 01:02:33,8
02/13/20 01:03:33,2
02/13/20 01:04:33,-6
02/13/20 01:05:33,-4
02/13/20 01:06:33,-1
02/13/20 01:07:34,-1
02/13/20 01:08:34,0
02/13/20 01:09:33,0
02/13/20 01:10:33,0
02/13/20 01:11:33,2
02/13/20 01:12:34,4
02/13/20 01:13:34,-26
02/13/20 01:14:34,1
02/13/20 01:15:34,0
02/13/20 01:16:34,1
02/13/20 01:17:34,-3
02/13/20 01:18:35,6
02/13/20 01:19:35,-7
02/13/20 01:20:35,-1
02/13/20 01:21:35,7
02/13/20 01:22:35,8
02/13/20 01:23:35,-54
02/13/20 01:24:35,0
02/13/20 01:25:36,-3
02/13/20 01:26:36,40
02/13/20 01:27:36,0
02/13/20 01:28:36,9
02/13/20 01:29:37,3
02/13/20 01:30:37,-1
02/13/20 01:31:37,4
02/13/20 01:32:37,0
02/13/20 01:33:37,1
02/13/20 01:34:37,0
02/13/20 01:35:38,18
02/13/20 01:36:38,2
02/13/20 01:37:38,1
02/13/20 01:38:38,-7
02/13/20 01:39:38,-1
02/13/20 01:40:38,1
02/13/20 01:41:38,9
02/13/20 01:42:38,0
02/13/20 01:43:38,4
02/13/20 01:44:39,8
02/13/20 01:45:39,2
02/13/20 01:46:39,3
02/13/20 01:47:39,1
02/13/20 01:48:39,0
02/13/20 01:49:39,2
02/13/20 01:50:39,-1
02/13/20 01:51:40,2
02/13/20 01:52:40,0
02/13/20 01:53:40,-8
02/13/20 01:54:40,0
02/13/20 01:55:40,-2
02/13/20 01:56:40,0
02/13/20 01:57:41,4
02/13/20 01:58:41,0
02/13/20 01:59:41,-4
02/13/20 02:00:41,1
02/13/20 02:01:42,2
02/13/20 02:02:42,1
02/13/20 02:03:42,-2
02/13/20 02:04:42,2
02/13/20 02:05:42,3
02/13/20 02:06:42,0
02/13/20 02:07:43,26
02/13/20 02:08:43,-1
02/13/20 02:09:43,-3
02/13/20 02:10:43,8
02/13/20 02:11:43,8
02/13/20 02:12:43,46
02/13/20 02:13:43,-4
02/13/20 02:14:43,-1
02/13/20 02:15:43,5
02/13/20 02:16:43,-5
02/13/20 02:17:43,-5
02/13/20 02:18:44,1
02/13/20 02:19:44,2
02/13/20 02:20:44,0
02/13/20 02:21:44,-1
02/13/20 02:22:44,-5
02/13/20 02:23:44,1
02/13/20 02:24:44,0
02/13/20 02:25:45,-1
02/13/20 02:26:45,-18
02/13/20 02:27:45,1
02/13/20 02:28:45,2
02/13/20 02:29:45,0
02/13/20 02:30:45,-4
02/13/20 02:31:46,9
02/13/20 02:32:46,1
02/13/20 02:33:46,0
02/13/20 02:34:46,4
02/13/20 02:35:46,4
02/13/20 02:36:46,0
02/13/20 02:37:46,-4
02/13/20 02:38:47,-3
02/13/20 02:39:47,-1
02/13/20 02:40:47,0
02/13/20 02:41:47,-5
02/13/20 02:42:47,0
02/13/20 02:43:47,-1
02/13/20 02:44:48,-1
02/13/20 02:45:48,0
02/13/20 02:46:48,1
02/13/20 02:47:48,-5
02/13/20 02:48:48,1
02/13/20 02:49:49,0
02/13/20 02:50:49,0
02/13/20 02:51:49,2
02/13/20 02:52:49,-1
02/13/20 02:53:49,0
02/13/20 02:54:49,-10
02/13/20 02:55:49,-3
02/13/20 02:56:50,-5
02/13/20 02:57:50,1
02/13/20 02:58:50,-2
02/13/20 02:59:50,-1
02/13/20 03:00:50,1
02/13/20 03:01:50,0
02/13/20 03:02:51,-13
02/13/20 03:03:51,5
02/13/20 03:04:51,7
02/13/20 03:05:51,55
02/13/20 03:06:51,0
02/13/20 03:07:51,4
02/13/20 03:08:51,0
02/13/20 03:09:52,-1
02/13/20 03:10:52,1
02/13/20 03:11:52,-15
02/13/20 03:12:52,3
02/13/20 03:13:52,9
02/13/20 03:14:52,-4
02/13/20 03:15:52,-4
02/13/20 03:16:52,12
02/13/20 03:17:53,-1
02/13/20 03:18:53,0
02/13/20 03:19:53,-9
02/13/20 03:20:53,0
02/13/20 03:21:53,0
02/13/20 03:22:53,0
02/13/20 03:23:53,-26
02/13/20 03:24:54,1
02/13/20 03:25:54,0
02/13/20 03:26:54,-36
02/13/20 03:27:54,-2
02/13/20 03:28:54,9
02/13/20 03:29:54,-3
02/13/20 03:30:54,-1
02/13/20 03:31:55,-5
02/13/20 03:32:55,5
02/13/20 03:33:55,-1
02/13/20 03:34:55,-7
02/13/20 03:35:55,-1
