timestamp,Infrared to Red Signal Ratio
01/28/20 00:14:01,0
01/28/20 00:15:02,-1
01/28/20 00:16:02,2
01/28/20 00:17:02,-18
01/28/20 00:18:02,-15
01/28/20 00:19:02,-3
01/28/20 00:20:02,-2
01/28/20 00:21:02,-1
01/28/20 00:22:03,-22
01/28/20 00:23:03,-2
01/28/20 00:24:03,-1
01/28/20 00:25:03,5
01/28/20 00:26:08,3
01/28/20 00:27:08,-3
01/28/20 00:28:08,2
01/28/20 00:29:09,95
01/28/20 00:30:09,8
01/28/20 00:31:09,19
01/28/20 00:32:09,10
01/28/20 00:33:09,-3
01/28/20 00:34:09,2
01/28/20 00:35:09,-1
01/28/20 00:36:10,0
01/28/20 00:37:10,0
01/28/20 00:38:10,0
01/28/20 00:39:10,-2
01/28/20 00:40:10,0
01/28/20 00:41:10,-1
01/28/20 00:42:13,15
01/28/20 00:43:13,4
01/28/20 00:44:14,2
01/28/20 00:45:14,0
01/28/20 00:46:14,7
01/28/20 00:47:14,-8
01/28/20 00:48:14,-14
01/28/20 00:49:14,0
01/28/20 00:50:14,0
01/28/20 00:51:15,0
01/28/20 00:52:15,4
01/28/20 00:53:15,-1
01/28/20 00:54:15,-12
01/28/20 00:55:15,-3
01/28/20 00:56:15,1
01/28/20 00:57:16,-1
01/28/20 00:58:16,15
01/28/20 00:59:16,-10
01/28/20 01:00:16,0
01/28/20 01:01:17,-17
01/28/20 01:02:17,0
01/28/20 01:03:17,0
01/28/20 01:04:17,-2
01/28/20 01:05:17,0
01/28/20 01:06:17,-1
01/28/20 01:07:17,9
01/28/20 01:08:18,-14
01/28/20 01:09:18,-1
01/28/20 01:10:18,-2
01/28/20 01:11:18,0
01/28/20 01:12:18,-11
01/28/20 01:13:18,-15
01/28/20 01:14:18,9
01/28/20 01:15:18,6
01/28/20 01:16:19,-4
01/28/20 01:17:19,-7
01/28/20 01:18:19,-7
01/28/20 01:19:19,2
01/28/20 01:20:19,-15
01/28/20 01:21:19,-37
01/28/20 01:22:19,8
01/28/20 01:23:20,-1
01/28/20 01:24:20,1
01/28/20 01:25:20,0
01/28/20 01:26:20,1
01/28/20 01:27:20,-8
01/28/20 01:28:20,2
01/28/20 01:29:21,1
01/28/20 01:30:21,4
01/28/20 01:31:21,-2
