timestamp,Infrared to Red Signal Ratio
01/25/20 19:28:02,3
01/25/20 19:29:03,2
01/25/20 19:30:03,9
01/25/20 19:31:03,0
01/25/20 19:35:01,3
01/25/20 23:18:01,3
01/25/20 23:19:01,-1
01/25/20 23:20:01,-2
01/25/20 23:21:01,-1
01/25/20 23:22:02,-5
01/25/20 23:23:02,7
01/25/20 23:24:02,-4
01/25/20 23:25:03,-2
01/25/20 23:26:03,6
01/25/20 23:27:03,1
01/25/20 23:28:03,-1
01/25/20 23:29:03,0
01/25/20 23:30:03,-3
01/25/20 23:31:04,-2
01/25/20 23:32:04,0
01/25/20 23:33:04,0
01/25/20 23:34:04,-1
01/25/20 23:35:04,0
01/25/20 23:36:04,-1
01/25/20 23:37:04,-11
01/25/20 23:38:05,0
01/25/20 23:39:05,-16
01/25/20 23:40:05,9
01/25/20 23:41:04,3
01/25/20 23:42:05,0
01/25/20 23:43:05,1
01/25/20 23:44:05,0
01/25/20 23:45:05,5
01/25/20 23:46:05,4
01/25/20 23:47:05,-14
01/25/20 23:48:06,39
01/25/20 23:49:06,-1
01/25/20 23:50:06,-1
01/25/20 23:51:06,-1
01/25/20 23:52:06,11
01/25/20 23:53:06,-11
01/25/20 23:54:06,-2
01/25/20 23:55:07,-2
01/25/20 23:56:07,-1
01/25/20 23:57:07,0
01/25/20 23:58:07,-1
01/25/20 23:59:07,-4
