timestamp,Infrared to Red Signal Ratio
02/14/20 00:00:14,1
02/14/20 00:01:14,1
02/14/20 00:02:14,0
02/14/20 00:03:14,-1
02/14/20 00:04:14,-4
02/14/20 00:05:15,13
02/14/20 00:06:15,-1
02/14/20 00:07:15,-1
02/14/20 00:08:15,2
02/14/20 00:09:15,3
02/14/20 00:10:15,-2
02/14/20 00:11:15,-1
02/14/20 00:12:16,1
02/14/20 00:13:16,0
02/14/20 00:14:16,8
02/14/20 00:15:16,-1
02/14/20 00:16:19,9
02/14/20 00:17:19,0
02/14/20 00:18:19,0
02/14/20 00:19:19,-4
02/14/20 00:20:19,0
02/14/20 00:21:19,1
02/14/20 00:22:20,-2
02/14/20 00:23:20,0
02/14/20 00:24:20,8
02/14/20 00:25:20,3
02/14/20 00:26:20,-16
02/14/20 00:27:20,2
02/14/20 00:28:21,-6
02/14/20 00:29:21,-6
02/14/20 00:30:21,-14
02/14/20 00:31:20,3
02/14/20 00:32:21,1
02/14/20 00:33:21,11
02/14/20 00:34:21,0
02/14/20 00:35:21,14
02/14/20 00:36:22,-7
02/14/20 00:37:22,1
02/14/20 00:38:22,-1
02/14/20 00:39:23,-4
02/14/20 00:40:23,-12
02/14/20 00:41:23,-1
02/14/20 00:42:23,3
02/14/20 00:43:23,1
02/14/20 00:44:23,-4
02/14/20 00:45:24,3
02/14/20 00:46:24,-2
02/14/20 00:47:24,0
02/14/20 00:48:25,25
02/14/20 00:49:25,4
02/14/20 00:50:25,10
02/14/20 00:51:25,-37
02/14/20 00:52:25,2
02/14/20 00:53:25,5
02/14/20 00:54:25,-8
02/14/20 00:55:26,-1
02/14/20 00:56:26,-2
02/14/20 00:57:26,2
02/14/20 00:58:26,-1
02/14/20 00:59:26,-8
02/14/20 01:00:26,0
02/14/20 01:01:27,0
02/14/20 01:02:27,-1
02/14/20 01:03:27,0
02/14/20 01:04:27,1
02/14/20 01:05:27,-4
02/14/20 01:06:27,-15
02/14/20 01:07:28,-2
02/14/20 01:08:28,-43
02/14/20 01:09:28,5
02/14/20 01:10:28,10
02/14/20 01:11:28,-1
02/14/20 01:12:28,0
02/14/20 01:13:28,14
02/14/20 01:14:29,0
02/14/20 01:15:29,7
02/14/20 01:16:29,10
02/14/20 01:17:29,-1
02/14/20 01:18:29,0
02/14/20 01:19:29,-12
02/14/20 01:20:29,0
02/14/20 01:21:29,-1
02/14/20 01:22:29,-1
02/14/20 01:23:29,-1
02/14/20 01:24:30,2
02/14/20 01:25:30,6
02/14/20 01:26:30,1
02/14/20 01:27:30,-5
02/14/20 01:28:30,-1
02/14/20 01:29:30,2
02/14/20 01:30:31,13
02/14/20 01:31:31,-3
02/14/20 01:32:31,4
02/14/20 01:33:31,-6
02/14/20 01:34:32,2
02/14/20 01:35:32,3
02/14/20 01:36:32,-9
02/14/20 01:37:32,-4
02/14/20 01:38:32,-3
02/14/20 01:39:32,-1
02/14/20 01:40:32,-1
02/14/20 01:41:33,-7
02/14/20 01:42:33,-1
02/14/20 01:43:33,-4
02/14/20 01:44:33,-3
02/14/20 01:45:33,1
02/14/20 01:46:33,-5
02/14/20 01:47:34,-3
02/14/20 01:48:34,-1
02/14/20 01:49:34,10
02/14/20 01:50:34,-3
02/14/20 01:51:34,-2
02/14/20 01:52:34,8
02/14/20 01:53:34,2
02/14/20 01:54:34,2
02/14/20 01:55:34,4
02/14/20 01:56:34,-2
02/14/20 01:57:35,1
02/14/20 01:58:35,-3
02/14/20 01:59:35,-3
02/14/20 02:00:35,0
02/14/20 02:01:35,-2
02/14/20 02:02:35,-2
02/14/20 02:03:35,0
02/14/20 02:04:36,-1
02/14/20 02:05:36,0
02/14/20 02:06:37,-9
02/14/20 02:07:37,0
02/14/20 02:08:38,11
02/14/20 02:09:38,16
02/14/20 02:10:38,-14
02/14/20 02:11:38,3
