timestamp,Infrared to Red Signal Ratio
02/04/20 00:00:44,-1
02/04/20 00:01:44,0
02/04/20 00:02:44,0
02/04/20 00:03:44,0
02/04/20 00:04:44,4
02/04/20 00:05:44,0
02/04/20 00:06:44,3
02/04/20 00:07:45,0
02/04/20 00:08:45,1
02/04/20 00:09:45,0
02/04/20 00:10:45,4
02/04/20 00:11:45,-1
02/04/20 00:12:45,7
02/04/20 00:13:46,-1
02/04/20 00:14:46,-1
02/04/20 00:15:52,10
02/04/20 00:16:52,1
02/04/20 00:17:52,8
02/04/20 00:18:52,-3
02/04/20 00:19:52,-1
02/04/20 00:20:53,1
02/04/20 00:21:53,15
02/04/20 00:22:53,-32
02/04/20 00:23:53,15
02/04/20 00:24:53,13
02/04/20 00:25:53,-14
02/04/20 00:26:54,-44
02/04/20 00:27:54,-2
02/04/20 00:28:54,0
02/04/20 00:29:54,4
02/04/20 00:30:54,3
02/04/20 00:31:54,3
02/04/20 00:32:54,-2
02/04/20 00:33:55,-1
02/04/20 00:34:55,-1
02/04/20 00:35:55,1
02/04/20 00:36:55,3
02/04/20 00:37:55,1
02/04/20 00:38:55,0
02/04/20 00:39:55,14
02/04/20 00:40:56,0
02/04/20 00:41:56,1
02/04/20 00:42:56,1
02/04/20 00:43:56,10
02/04/20 00:44:56,16
02/04/20 00:45:56,-1
02/04/20 00:46:57,14
02/04/20 00:47:57,-1
02/04/20 00:48:57,4
02/04/20 00:49:57,19
02/04/20 00:50:57,6
02/04/20 00:51:57,-4
02/04/20 00:52:57,-1
02/04/20 00:53:58,-2
02/04/20 00:54:58,4
02/04/20 00:55:58,9
02/04/20 00:56:58,10
02/04/20 00:57:58,1
02/04/20 00:58:58,-1
02/04/20 00:59:58,1
02/04/20 01:00:59,0
02/04/20 01:01:59,1
02/04/20 01:02:59,5
02/04/20 01:03:59,0
02/04/20 01:04:59,-1
02/04/20 01:05:59,1
02/04/20 01:07:00,4
02/04/20 01:08:00,2
02/04/20 01:09:00,3
02/04/20 01:10:00,-4
02/04/20 01:11:00,3
02/04/20 01:12:00,-5
02/04/20 01:13:00,-12
02/04/20 01:14:01,-1
02/04/20 01:15:01,-1
02/04/20 01:16:01,6
02/04/20 01:17:01,-5
02/04/20 01:18:01,0
02/04/20 01:19:01,-2
02/04/20 01:20:01,0
02/04/20 01:21:02,-2
02/04/20 01:22:02,1
02/04/20 01:23:02,0
02/04/20 01:24:02,5
02/04/20 01:25:02,2
02/04/20 01:26:02,13
02/04/20 01:27:03,4
02/04/20 01:28:03,0
02/04/20 01:29:03,0
02/04/20 01:30:03,22
02/04/20 01:31:03,-11
02/04/20 01:32:03,7
02/04/20 01:33:03,0
02/04/20 01:34:04,-1
02/04/20 01:35:04,-4
02/04/20 01:36:04,-1
02/04/20 01:37:04,-1
02/04/20 01:38:04,2
02/04/20 01:39:04,-29
02/04/20 01:40:04,-19
02/04/20 01:41:05,0
02/04/20 01:42:05,-1
02/04/20 01:43:05,-1
02/04/20 01:44:05,0
02/04/20 01:45:05,-6
02/04/20 01:46:05,-2
02/04/20 01:47:06,5
02/04/20 01:48:06,13
02/04/20 01:49:06,-4
02/04/20 01:50:06,-1
02/04/20 01:51:06,0
02/04/20 01:52:06,-3
02/04/20 01:53:06,1
02/04/20 01:54:07,-1
02/04/20 01:55:07,7
02/04/20 01:56:07,5
02/04/20 01:57:07,7
02/04/20 01:58:07,20
02/04/20 01:59:07,2
02/04/20 02:00:07,38
02/04/20 02:01:08,25
02/04/20 02:02:08,13
02/04/20 02:03:08,-2
02/04/20 02:04:08,0
02/04/20 02:05:08,0
02/04/20 02:06:08,-11
02/04/20 02:07:09,2
02/04/20 02:08:09,0
02/04/20 02:09:09,0
02/04/20 02:10:09,-16
