timestamp,Infrared to Red Signal Ratio
02/10/20 00:00:41,-1
02/10/20 00:01:40,6
02/10/20 00:02:40,0
02/10/20 00:03:40,-27
02/10/20 00:04:41,0
02/10/20 00:05:41,-3
02/10/20 00:06:41,-18
02/10/20 00:07:41,18
02/10/20 00:08:41,-2
02/10/20 00:09:41,5
02/10/20 00:10:41,-4
02/10/20 00:11:42,23
02/10/20 00:12:42,58
02/10/20 00:13:42,-1
02/10/20 00:14:42,0
02/10/20 00:15:42,-3
02/10/20 00:16:42,0
02/10/20 00:17:43,-22
02/10/20 00:18:43,-9
02/10/20 00:19:43,-1
02/10/20 00:20:43,3
02/10/20 00:21:43,0
02/10/20 00:22:43,-6
02/10/20 00:23:43,15
02/10/20 00:24:44,0
02/10/20 00:25:44,0
02/10/20 00:26:44,-4
02/10/20 00:27:44,-22
02/10/20 00:28:44,0
02/10/20 00:29:44,-3
02/10/20 00:30:45,-1
02/10/20 00:31:45,2
02/10/20 00:32:45,-3
02/10/20 00:33:45,7
02/10/20 00:34:45,0
02/10/20 00:35:45,0
02/10/20 00:36:45,-1
02/10/20 00:37:46,2
02/10/20 00:38:46,-1
02/10/20 00:39:46,-26
02/10/20 00:40:46,5
02/10/20 00:41:46,-82
02/10/20 00:42:46,-44
02/10/20 00:43:47,0
02/10/20 00:44:47,0
02/10/20 00:45:47,-1
02/10/20 00:46:47,0
02/10/20 00:47:47,0
02/10/20 00:48:47,-1
02/10/20 00:49:48,4
02/10/20 00:50:48,0
02/10/20 00:51:48,-3
02/10/20 00:52:48,1
02/10/20 00:53:48,-1
02/10/20 00:54:49,0
02/10/20 00:55:49,0
02/10/20 00:56:49,0
02/10/20 00:57:49,3
02/10/20 00:58:49,-3
02/10/20 00:59:49,0
02/10/20 01:00:49,-2
02/10/20 01:01:50,16
02/10/20 01:02:50,0
02/10/20 01:03:50,14
02/10/20 01:04:50,10
02/10/20 01:05:50,5
02/10/20 01:06:50,-1
02/10/20 01:07:51,0
02/10/20 01:08:51,0
02/10/20 01:09:51,0
02/10/20 01:10:51,0
02/10/20 01:11:51,0
02/10/20 01:12:51,2
02/10/20 01:13:51,0
02/10/20 01:14:52,0
02/10/20 01:15:52,0
02/10/20 01:16:52,8
02/10/20 01:17:52,1
02/10/20 01:18:52,3
02/10/20 01:19:52,17
02/10/20 01:20:52,-36
02/10/20 01:21:53,0
02/10/20 01:22:53,-5
02/10/20 01:23:53,3
02/10/20 01:24:53,-4
02/10/20 01:25:53,2
02/10/20 01:26:53,11
02/10/20 01:27:54,-1
02/10/20 01:28:54,6
02/10/20 01:29:54,6
02/10/20 01:30:54,-1
02/10/20 01:31:54,0
02/10/20 01:32:54,-3
02/10/20 01:33:55,0
02/10/20 01:34:55,2
02/10/20 01:35:55,-1
02/10/20 01:36:55,24
02/10/20 01:37:55,-1
02/10/20 01:38:55,2
02/10/20 01:39:56,6
02/10/20 01:40:56,-1
02/10/20 01:41:56,-13
02/10/20 01:42:56,0
02/10/20 01:43:56,5
02/10/20 01:44:56,-2
02/10/20 01:45:56,3
02/10/20 01:46:57,0
02/10/20 01:47:57,-2
02/10/20 01:48:57,4
02/10/20 01:49:57,-23
02/10/20 01:50:57,0
02/10/20 01:51:57,0
02/10/20 01:52:58,-1
02/10/20 01:53:58,-2
02/10/20 01:54:58,-6
02/10/20 01:55:58,-1
02/10/20 01:56:58,-15
02/10/20 01:57:58,0
02/10/20 01:58:59,-11
02/10/20 01:59:59,20
02/10/20 02:00:59,1
02/10/20 02:01:59,-9
02/10/20 02:02:59,-3
02/10/20 02:03:59,-6
02/10/20 02:04:59,0
02/10/20 02:06:00,-2
02/10/20 02:07:00,-1
02/10/20 02:08:00,-6
02/10/20 02:09:00,3
02/10/20 02:10:00,-2
02/10/20 02:11:00,4
02/10/20 02:12:00,2
02/10/20 02:13:00,-1
02/10/20 02:14:00,0
02/10/20 02:15:01,0
02/10/20 02:16:01,-1
02/10/20 02:17:01,-1
02/10/20 02:18:01,-7
02/10/20 02:19:01,0
02/10/20 02:20:01,-16
02/10/20 02:21:01,-29
02/10/20 02:22:02,-9
02/10/20 02:23:02,9
02/10/20 02:24:02,-5
02/10/20 02:25:02,-2
02/10/20 02:26:02,5
02/10/20 02:27:02,6
02/10/20 02:28:02,-1
02/10/20 02:29:02,-2
02/10/20 02:30:02,1
02/10/20 02:31:02,1
02/10/20 02:32:03,-1
02/10/20 02:33:03,4
02/10/20 02:34:03,4
02/10/20 02:35:03,-2
02/10/20 02:36:03,14
02/10/20 02:37:03,8
02/10/20 02:38:03,4
02/10/20 02:39:04,1
02/10/20 02:40:04,-1
02/10/20 02:41:04,18
02/10/20 02:42:04,-5
02/10/20 02:43:04,0
02/10/20 02:44:05,1
02/10/20 02:45:05,-1
02/10/20 02:46:05,-3
02/10/20 02:47:05,-31
02/10/20 02:48:05,6
02/10/20 02:49:05,1
02/10/20 02:50:05,0
02/10/20 02:51:06,0
02/10/20 02:52:06,-2
02/10/20 02:53:06,1
02/10/20 02:54:06,2
02/10/20 02:55:06,-1
02/10/20 02:56:06,0
02/10/20 02:57:07,2
02/10/20 02:58:07,0
02/10/20 02:59:07,0
02/10/20 03:00:07,7
02/10/20 03:01:07,-5
02/10/20 03:02:07,-3
02/10/20 03:03:07,-15
02/10/20 03:04:07,0
02/10/20 03:05:08,-1
02/10/20 03:06:08,3
02/10/20 03:07:08,-1
02/10/20 03:08:08,-1
02/10/20 03:09:08,-3
02/10/20 03:10:08,0
02/10/20 03:11:09,1
02/10/20 03:12:09,-1
02/10/20 03:13:09,0
02/10/20 03:14:12,0
02/10/20 03:15:12,2
02/10/20 03:16:12,-1
02/10/20 03:17:13,-4
02/10/20 03:18:13,0
02/10/20 03:19:13,-51
02/10/20 03:20:13,1
02/10/20 03:21:13,-1
02/10/20 03:22:13,-1
02/10/20 03:23:13,38
02/10/20 03:24:14,-1
02/10/20 03:25:14,-1
02/10/20 03:26:14,-1
02/10/20 03:27:14,11
02/10/20 03:28:14,11
02/10/20 03:29:14,20
02/10/20 03:30:14,16
02/10/20 03:31:15,8
02/10/20 03:32:15,1
02/10/20 03:33:15,15
02/10/20 03:34:15,1
02/10/20 03:35:15,-39
02/10/20 03:36:15,10
02/10/20 03:37:15,22
02/10/20 03:38:16,28
02/10/20 03:39:16,-1
02/10/20 03:40:16,-6
02/10/20 03:41:16,0
02/10/20 03:42:16,0
02/10/20 03:43:16,1
02/10/20 03:44:16,2
02/10/20 03:45:17,-3
02/10/20 03:46:17,-23
02/10/20 03:47:18,-32
02/10/20 03:48:18,17
02/10/20 03:49:18,-3
02/10/20 03:50:18,-3
02/10/20 03:51:18,-12
02/10/20 03:52:18,0
02/10/20 03:53:18,-3
02/10/20 03:54:19,-1
02/10/20 03:55:19,3
02/10/20 03:56:19,0
02/10/20 03:57:19,0
02/10/20 03:58:19,-2
02/10/20 03:59:19,-3
02/10/20 04:00:19,-7
02/10/20 04:01:20,0
02/10/20 04:02:19,3
02/10/20 04:03:20,16
02/10/20 04:04:20,0
02/10/20 04:05:20,0
02/10/20 04:06:20,-1
02/10/20 04:07:20,0
02/10/20 04:08:20,8
02/10/20 04:09:21,-14
02/10/20 04:10:21,-2
02/10/20 04:11:21,2
02/10/20 04:12:21,1
02/10/20 04:13:21,-5
02/10/20 04:14:21,-1
02/10/20 04:15:21,10
02/10/20 04:16:22,-1
02/10/20 04:17:22,10
02/10/20 04:18:25,-3
02/10/20 04:19:25,-1
02/10/20 04:20:25,4
02/10/20 04:21:25,18
02/10/20 04:22:26,-1
02/10/20 04:23:26,-5
02/10/20 04:24:26,-2
02/10/20 04:25:26,2
02/10/20 04:26:26,-1
02/10/20 04:27:26,0
02/10/20 04:28:26,-6
02/10/20 04:29:27,-2
02/10/20 04:30:27,6
02/10/20 04:31:27,-46
02/10/20 04:32:27,-5
02/10/20 04:33:27,-1
02/10/20 04:34:28,0
02/10/20 04:35:28,3
02/10/20 04:36:28,-5
02/10/20 04:37:28,0
02/10/20 04:38:28,-84
02/10/20 04:39:29,-12
02/10/20 04:40:29,10
02/10/20 04:41:29,-18
02/10/20 04:42:29,0
02/10/20 04:43:29,1
02/10/20 04:44:29,-1
02/10/20 04:45:29,0
02/10/20 04:46:30,-3
02/10/20 04:47:30,10
02/10/20 04:48:30,0
02/10/20 04:49:30,0
02/10/20 04:50:29,0
02/10/20 04:51:29,-1
02/10/20 04:52:30,0
02/10/20 04:53:30,-5
02/10/20 04:54:30,0
02/10/20 04:55:30,-3
02/10/20 04:56:30,-1
02/10/20 04:57:30,-4
02/10/20 04:58:30,-1
02/10/20 04:59:31,-1
02/10/20 05:00:31,0
02/10/20 05:01:31,-10
02/10/20 05:02:31,-1
02/10/20 05:03:31,-22
02/10/20 05:04:31,-1
02/10/20 05:05:32,3
02/10/20 05:06:32,-1
02/10/20 05:07:33,-1
02/10/20 05:08:33,1
02/10/20 05:09:33,-2
02/10/20 05:10:33,-4
02/10/20 05:11:33,-3
02/10/20 05:12:33,0
02/10/20 05:13:33,-5
02/10/20 05:14:34,0
02/10/20 05:15:34,1
02/10/20 05:16:34,-1
