timestamp,Infrared to Red Signal Ratio
02/20/20 00:00:10,-1
02/20/20 00:01:10,3
02/20/20 00:02:11,9
02/20/20 00:03:11,-10
02/20/20 00:04:12,0
02/20/20 00:05:12,4
02/20/20 00:06:12,-1
02/20/20 00:07:12,-1
02/20/20 00:08:12,0
02/20/20 00:09:12,-2
02/20/20 00:10:12,-1
02/20/20 00:11:13,0
02/20/20 00:12:13,1
02/20/20 00:13:13,-1
02/20/20 00:14:13,25
02/20/20 00:15:13,0
02/20/20 00:16:13,0
02/20/20 00:17:13,0
02/20/20 00:18:14,0
02/20/20 00:19:14,21
02/20/20 00:20:14,0
02/20/20 00:21:14,3
02/20/20 00:22:14,24
02/20/20 00:23:14,18
02/20/20 00:24:14,-3
02/20/20 00:25:15,0
02/20/20 00:26:15,0
02/20/20 00:27:15,5
02/20/20 00:28:15,-72
02/20/20 00:29:15,80
02/20/20 00:30:15,-4
02/20/20 00:31:15,-1
02/20/20 00:32:16,7
02/20/20 00:33:16,-8
02/20/20 00:34:16,-1
02/20/20 00:35:16,-1
02/20/20 00:36:16,0
02/20/20 00:37:16,-4
02/20/20 00:38:17,-4
02/20/20 00:39:17,-1
02/20/20 00:40:17,0
02/20/20 00:41:17,-1
02/20/20 00:42:17,-3
02/20/20 00:43:17,0
02/20/20 00:44:17,-1
02/20/20 00:45:18,33
02/20/20 00:46:18,-2
02/20/20 00:47:18,-5
02/20/20 00:48:18,4
02/20/20 00:49:18,6
02/20/20 00:50:20,3
02/20/20 00:51:20,3
02/20/20 00:52:20,0
02/20/20 00:53:21,0
02/20/20 00:54:21,0
02/20/20 00:55:21,-5
02/20/20 00:56:21,0
02/20/20 00:57:21,2
02/20/20 00:58:21,0
02/20/20 00:59:21,1
02/20/20 01:00:22,0
02/20/20 01:01:22,1
02/20/20 01:02:22,4
02/20/20 01:03:22,-3
02/20/20 01:04:22,-1
02/20/20 01:05:22,6
02/20/20 01:06:22,4
02/20/20 01:07:22,-3
02/20/20 01:08:22,0
02/20/20 01:09:22,-1
02/20/20 01:10:22,-2
02/20/20 01:11:22,3
02/20/20 01:12:25,3
02/20/20 01:13:26,-7
02/20/20 01:14:26,10
02/20/20 01:15:26,-3
02/20/20 01:16:26,-1
02/20/20 01:17:26,0
02/20/20 01:18:26,-14
02/20/20 01:19:26,-2
02/20/20 01:20:27,1
02/20/20 01:21:27,-3
02/20/20 01:22:27,-3
02/20/20 01:23:27,-3
02/20/20 01:24:27,0
02/20/20 01:25:27,0
02/20/20 01:26:28,0
02/20/20 01:27:28,3
02/20/20 01:28:28,0
02/20/20 01:29:28,3
02/20/20 01:30:28,-2
02/20/20 01:31:28,-59
02/20/20 01:32:28,0
02/20/20 01:33:29,-2
02/20/20 01:34:29,0
02/20/20 01:35:29,6
02/20/20 01:36:29,-2
02/20/20 01:37:33,6
02/20/20 01:38:33,-2
02/20/20 01:39:33,-3
02/20/20 01:40:34,-2
02/20/20 01:41:34,-7
02/20/20 01:42:34,-2
02/20/20 01:43:37,-10
02/20/20 01:44:37,-4
02/20/20 01:45:37,-22
02/20/20 01:46:37,0
02/20/20 01:47:38,-16
02/20/20 01:48:38,0
02/20/20 01:49:38,-51
02/20/20 01:50:38,-42
02/20/20 01:51:38,1
02/20/20 01:52:38,8
02/20/20 01:53:41,21
02/20/20 01:54:41,21
02/20/20 01:55:41,5
02/20/20 01:56:41,4
02/20/20 01:57:42,-5
02/20/20 01:58:42,5
02/20/20 01:59:42,10
02/20/20 02:00:42,-26
02/20/20 02:01:42,1
02/20/20 02:02:42,2
02/20/20 02:03:43,47
02/20/20 02:04:43,21
02/20/20 02:05:43,-44
02/20/20 02:06:43,-1
02/20/20 02:07:43,-4
02/20/20 02:08:43,-1
02/20/20 02:09:46,-16
02/20/20 02:10:47,1
02/20/20 02:11:47,-1
02/20/20 02:12:47,-11
02/20/20 02:13:47,-5
02/20/20 02:14:47,-12
02/20/20 02:15:47,-3
02/20/20 02:16:47,-12
02/20/20 02:17:48,12
02/20/20 02:18:48,9
02/20/20 02:19:48,7
02/20/20 02:20:48,-6
02/20/20 02:21:48,-3
02/20/20 02:22:48,3
02/20/20 02:23:48,-1
02/20/20 02:24:49,0
02/20/20 02:25:49,1
02/20/20 02:26:49,-5
02/20/20 02:27:49,6
02/20/20 02:28:49,6
02/20/20 02:29:49,-2
02/20/20 02:30:50,0
02/20/20 02:31:50,0
02/20/20 02:32:50,4
02/20/20 02:33:50,-15
02/20/20 02:34:50,0
02/20/20 02:35:50,-3
02/20/20 02:36:50,2
02/20/20 02:37:51,-4
02/20/20 02:38:51,-1
02/20/20 02:39:51,-2
02/20/20 02:40:51,3
02/20/20 02:41:51,0
02/20/20 02:42:52,-1
02/20/20 02:43:52,3
02/20/20 02:44:52,4
02/20/20 02:45:52,7
02/20/20 02:46:52,-4
02/20/20 02:47:52,-1
02/20/20 02:48:52,-1
02/20/20 02:49:53,-1
02/20/20 02:50:53,1
02/20/20 02:51:53,-14
02/20/20 02:52:53,-17
02/20/20 02:53:53,-23
02/20/20 02:54:53,-12
02/20/20 02:55:53,-5
02/20/20 02:56:54,-1
02/20/20 02:57:54,0
02/20/20 02:58:54,-21
02/20/20 02:59:54,-16
02/20/20 03:00:54,-15
02/20/20 03:01:54,-13
02/20/20 03:02:54,-37
02/20/20 03:03:55,-18
02/20/20 03:04:55,-10
02/20/20 03:05:55,-20
02/20/20 03:06:55,-4
02/20/20 03:07:55,-6
02/20/20 03:08:55,0
02/20/20 03:09:55,-30
02/20/20 03:10:56,-4
02/20/20 03:11:56,-22
02/20/20 03:12:56,0
02/20/20 03:13:56,-8
02/20/20 03:14:57,-7
02/20/20 03:15:57,-2
02/20/20 03:16:57,-3
02/20/20 03:18:01,0
02/20/20 03:19:01,-26
02/20/20 03:20:02,-29
02/20/20 03:21:02,-9
02/20/20 03:22:02,-10
02/20/20 03:23:02,-21
02/20/20 03:24:02,-1
02/20/20 03:25:02,-25
02/20/20 03:26:02,-2
02/20/20 03:27:03,-43
02/20/20 03:28:03,-19
02/20/20 03:29:03,0
