timestamp,Infrared to Red Signal Ratio
02/08/20 00:04:31,3
02/08/20 00:05:31,13
02/08/20 00:06:31,-26
02/08/20 00:07:34,2
02/08/20 00:08:34,14
02/08/20 00:09:35,0
02/08/20 00:10:35,11
02/08/20 00:11:35,-1
02/08/20 00:12:35,4
02/08/20 00:13:35,-11
02/08/20 00:14:35,10
02/08/20 00:15:35,2
02/08/20 00:16:36,11
02/08/20 00:17:36,-9
02/08/20 00:18:36,-13
02/08/20 00:19:36,-1
02/08/20 00:20:36,-1
02/08/20 00:21:36,-6
02/08/20 00:22:37,0
02/08/20 00:23:40,-8
02/08/20 00:24:40,-2
02/08/20 00:25:40,-37
02/08/20 00:26:41,-1
02/08/20 00:27:41,-11
02/08/20 00:28:41,1
02/08/20 00:29:41,-30
02/08/20 00:30:41,-1
02/08/20 00:31:41,-1
02/08/20 00:32:41,-6
02/08/20 00:33:42,-1
02/08/20 00:34:42,25
02/08/20 00:35:42,0
02/08/20 00:36:42,0
02/08/20 00:37:42,0
02/08/20 00:38:42,0
02/08/20 00:39:42,-51
02/08/20 00:40:42,-24
02/08/20 00:41:42,2
02/08/20 00:42:42,0
02/08/20 00:43:42,5
02/08/20 00:44:43,0
02/08/20 00:45:43,0
02/08/20 00:46:43,-16
02/08/20 00:47:43,1
02/08/20 00:48:43,0
02/08/20 00:49:43,-1
02/08/20 00:50:43,1
02/08/20 00:51:44,-4
02/08/20 00:52:44,-1
02/08/20 00:53:44,7
02/08/20 00:54:44,0
02/08/20 00:55:45,50
02/08/20 00:56:45,-6
02/08/20 00:57:46,37
02/08/20 00:58:46,1
02/08/20 00:59:46,-7
02/08/20 01:00:46,-3
02/08/20 01:01:46,24
02/08/20 01:02:46,3
02/08/20 01:03:46,0
02/08/20 01:04:47,-4
02/08/20 01:05:47,-1
02/08/20 01:06:47,-3
02/08/20 01:07:47,-62
02/08/20 01:08:47,8
02/08/20 01:09:47,-11
02/08/20 01:10:47,0
02/08/20 01:11:52,-60
02/08/20 01:12:52,-20
02/08/20 01:13:52,32
02/08/20 01:14:52,22
02/08/20 01:15:52,-1
02/08/20 01:16:52,19
02/08/20 01:17:52,30
02/08/20 01:18:53,-4
02/08/20 01:19:53,1
02/08/20 01:20:53,-1
02/08/20 01:21:53,-22
02/08/20 01:22:53,-12
02/08/20 01:23:53,37
02/08/20 01:24:53,-2
02/08/20 01:25:54,4
02/08/20 01:26:54,-11
02/08/20 01:27:56,7
02/08/20 01:28:56,7
02/08/20 01:29:56,-22
02/08/20 01:30:57,-15
02/08/20 01:31:57,-5
02/08/20 01:32:57,0
02/08/20 01:33:57,-3
02/08/20 01:34:57,-9
02/08/20 01:35:57,-4
02/08/20 01:36:57,-13
02/08/20 01:37:58,49
02/08/20 01:38:58,-6
02/08/20 01:39:58,-4
02/08/20 01:40:58,-1
02/08/20 01:41:58,-1
02/08/20 01:42:59,12
02/08/20 01:43:59,-3
02/08/20 01:44:59,-5
02/08/20 01:45:59,-18
02/08/20 01:47:00,1
02/08/20 01:48:00,-2
02/08/20 01:49:00,-7
02/08/20 01:50:00,-31
02/08/20 01:51:00,-1
02/08/20 01:52:00,0
02/08/20 01:53:00,-55
02/08/20 01:54:01,0
02/08/20 01:55:01,-43
02/08/20 01:56:01,-4
02/08/20 01:57:01,0
02/08/20 01:58:01,-1
02/08/20 01:59:01,3
02/08/20 02:00:01,4
02/08/20 02:01:01,5
02/08/20 02:02:01,0
02/08/20 02:03:01,-16
02/08/20 02:04:01,23
02/08/20 02:05:02,-7
02/08/20 02:06:02,-3
02/08/20 02:07:02,-3
02/08/20 02:08:02,5
02/08/20 02:09:02,-1
02/08/20 02:10:02,-1
02/08/20 02:11:02,3
02/08/20 02:12:03,3
02/08/20 02:13:03,19
02/08/20 02:14:03,0
02/08/20 02:15:03,-7
02/08/20 02:16:04,4
02/08/20 02:17:04,-2
02/08/20 02:18:04,-3
02/08/20 02:19:04,18
02/08/20 02:20:04,-15
02/08/20 02:21:04,0
02/08/20 02:22:04,1
02/08/20 02:23:05,-2
02/08/20 02:24:05,5
02/08/20 02:25:05,12
02/08/20 02:26:05,-9
02/08/20 02:27:05,0
02/08/20 02:28:05,-5
02/08/20 02:29:06,3
02/08/20 02:30:06,4
02/08/20 02:31:06,-18
02/08/20 02:32:06,-1
02/08/20 02:33:07,0
02/08/20 02:34:07,-8
02/08/20 02:35:07,-5
02/08/20 02:36:07,-17
02/08/20 02:37:07,-1
02/08/20 02:38:07,-14
02/08/20 02:39:07,-1
02/08/20 02:40:08,13
02/08/20 02:41:08,-9
02/08/20 02:42:08,-1
02/08/20 02:43:08,0
02/08/20 02:44:08,0
02/08/20 02:45:08,0
02/08/20 02:46:09,0
02/08/20 02:47:09,-3
02/08/20 02:48:09,17
02/08/20 02:49:09,2
02/08/20 02:50:09,9
02/08/20 02:51:10,0
02/08/20 02:52:10,5
02/08/20 02:53:10,8
02/08/20 02:54:10,-1
02/08/20 02:55:10,-1
02/08/20 02:56:10,0
02/08/20 02:57:11,-1
02/08/20 02:58:11,13
02/08/20 02:59:11,-1
02/08/20 03:00:11,0
02/08/20 03:01:11,0
02/08/20 03:02:11,23
02/08/20 03:03:12,0
02/08/20 03:04:12,0
02/08/20 03:05:12,-3
02/08/20 03:06:12,13
02/08/20 03:07:12,3
02/08/20 03:08:12,0
02/08/20 03:09:12,36
02/08/20 03:10:13,2
02/08/20 03:11:13,3
02/08/20 03:12:13,4
02/08/20 03:13:13,-11
02/08/20 03:14:13,-1
02/08/20 03:15:13,7
02/08/20 03:16:13,-4
02/08/20 03:17:14,-1
02/08/20 03:18:14,0
02/08/20 03:19:14,11
02/08/20 03:20:14,-16
02/08/20 03:21:14,-5
02/08/20 03:22:15,0
02/08/20 03:23:15,8
02/08/20 03:24:15,-18
02/08/20 03:25:15,-5
02/08/20 03:26:15,-1
02/08/20 03:27:15,-19
02/08/20 03:28:16,2
02/08/20 03:29:16,1
02/08/20 03:30:16,-4
02/08/20 03:31:16,-1
02/08/20 03:32:16,9
02/08/20 03:33:16,-1
02/08/20 03:34:16,-7
02/08/20 03:35:17,-4
02/08/20 03:36:17,-17
02/08/20 03:37:17,-5
02/08/20 03:38:17,-26
02/08/20 03:39:17,-48
02/08/20 03:40:18,-2
02/08/20 03:41:18,0
02/08/20 03:42:18,-1
02/08/20 03:43:18,-1
02/08/20 03:44:18,-2
02/08/20 03:45:18,-7
02/08/20 03:46:18,-1
02/08/20 03:47:19,-1
02/08/20 03:48:19,10
02/08/20 03:49:19,-3
02/08/20 03:50:19,0
02/08/20 03:51:20,-2
02/08/20 03:52:20,-1
02/08/20 03:53:20,0
02/08/20 03:54:20,-1
02/08/20 03:55:20,-1
02/08/20 03:56:20,-1
02/08/20 03:57:20,-2
02/08/20 03:58:21,-6
02/08/20 03:59:21,-1
02/08/20 04:00:21,-3
02/08/20 04:01:21,-15
02/08/20 04:02:21,-12
02/08/20 04:03:21,0
02/08/20 04:04:21,5
02/08/20 04:05:22,12
02/08/20 04:06:22,20
02/08/20 04:07:21,0
02/08/20 04:08:21,13
02/08/20 04:09:21,0
02/08/20 04:10:22,2
02/08/20 04:11:22,-1
02/08/20 04:12:22,-5
02/08/20 04:13:22,-2
02/08/20 04:14:22,0
02/08/20 04:15:22,0
02/08/20 04:16:22,-33
02/08/20 04:17:23,-1
02/08/20 04:18:23,0
02/08/20 04:19:23,1
02/08/20 04:20:23,6
02/08/20 04:21:23,-1
02/08/20 04:22:23,-1
02/08/20 04:23:23,4
02/08/20 04:24:24,1
02/08/20 04:25:24,-14
02/08/20 04:26:24,2
02/08/20 04:27:24,0
02/08/20 04:28:24,1
02/08/20 04:29:24,-25
02/08/20 04:30:24,23
02/08/20 04:31:25,-7
02/08/20 04:32:25,3
02/08/20 04:33:25,-29
02/08/20 04:34:25,-4
02/08/20 04:35:25,-5
02/08/20 04:36:25,-7
02/08/20 04:37:26,0
02/08/20 04:38:26,2
02/08/20 04:39:26,0
02/08/20 04:40:26,-1
02/08/20 04:41:26,-6
02/08/20 04:42:26,37
02/08/20 04:43:26,0
02/08/20 04:44:27,4
02/08/20 04:45:27,-1
02/08/20 04:46:27,23
02/08/20 04:47:27,-4
02/08/20 04:48:27,11
02/08/20 04:49:27,-2
02/08/20 04:50:28,40
02/08/20 04:51:28,-1
02/08/20 04:52:28,-2
02/08/20 04:53:28,29
02/08/20 04:54:28,14
02/08/20 04:55:28,2
02/08/20 04:56:28,4
02/08/20 04:57:29,0
02/08/20 04:58:29,21
02/08/20 04:59:29,5
02/08/20 05:00:29,1
02/08/20 05:01:29,0
02/08/20 05:02:29,0
02/08/20 05:03:29,23
02/08/20 05:04:30,18
02/08/20 05:05:30,-1
02/08/20 05:06:30,-1
02/08/20 05:07:30,14
02/08/20 05:08:30,-10
02/08/20 05:09:30,11
02/08/20 05:10:31,-1
02/08/20 05:11:30,0
02/08/20 05:12:31,0
02/08/20 05:13:31,0
02/08/20 05:14:31,2
02/08/20 05:15:31,-1
02/08/20 05:16:31,0
02/08/20 05:17:31,0
02/08/20 05:18:31,31
02/08/20 05:19:32,7
02/08/20 05:20:32,9
02/08/20 05:21:32,1
02/08/20 05:22:32,11
02/08/20 05:23:32,14
02/08/20 05:24:32,3
02/08/20 05:25:33,0
02/08/20 05:26:33,-3
02/08/20 05:27:34,-17
02/08/20 05:28:34,7
02/08/20 05:29:34,-4
02/08/20 05:30:34,-1
02/08/20 05:31:34,9
02/08/20 05:32:35,-26
02/08/20 05:33:35,-7
02/08/20 05:34:35,0
02/08/20 05:35:35,18
02/08/20 05:36:35,-1
02/08/20 05:37:35,-7
02/08/20 05:38:36,2
02/08/20 05:39:36,-2
02/08/20 05:40:36,-5
02/08/20 05:41:36,-1
02/08/20 05:42:36,-1
02/08/20 05:43:35,7
02/08/20 05:44:35,6
02/08/20 05:45:36,5
02/08/20 05:46:36,33
02/08/20 05:47:36,27
02/08/20 05:48:36,-10
02/08/20 05:49:36,0
02/08/20 05:50:36,-3
02/08/20 05:51:37,-7
02/08/20 05:52:37,-1
02/08/20 05:53:37,3
02/08/20 05:54:37,-20
02/08/20 05:55:37,2
02/08/20 05:56:37,-1
02/08/20 05:57:37,29
02/08/20 05:58:38,2
02/08/20 05:59:38,23
02/08/20 06:00:38,-25
02/08/20 06:01:38,72
02/08/20 06:02:38,40
02/08/20 06:03:39,11
02/08/20 06:04:39,-18
02/08/20 06:05:39,-1
02/08/20 06:06:39,6
02/08/20 06:07:39,4
02/08/20 06:08:39,0
02/08/20 06:09:39,-12
02/08/20 06:10:40,-1
02/08/20 06:11:40,0
02/08/20 06:12:40,-1
02/08/20 06:13:40,-1
02/08/20 06:14:40,0
02/08/20 06:15:41,-5
02/08/20 06:16:41,0
02/08/20 06:17:41,4
02/08/20 06:18:41,4
02/08/20 06:19:41,-3
02/08/20 06:20:41,-4
02/08/20 06:21:42,1
02/08/20 06:22:42,-1
02/08/20 06:23:42,0
02/08/20 06:24:42,5
02/08/20 06:25:42,2
02/08/20 06:26:42,2
02/08/20 06:27:42,5
02/08/20 06:28:43,-2
02/08/20 06:29:43,1
02/08/20 06:30:43,0
02/08/20 06:31:43,0
02/08/20 06:32:43,1
02/08/20 06:33:43,5
02/08/20 06:34:43,-2
02/08/20 06:35:43,5
02/08/20 06:36:43,0
02/08/20 06:37:43,5
02/08/20 06:38:44,-2
02/08/20 06:39:44,-2
02/08/20 06:40:44,-1
02/08/20 06:41:44,-2
02/08/20 06:42:44,5
02/08/20 06:43:44,4
02/08/20 06:44:44,-2
02/08/20 06:45:45,-2
02/08/20 06:46:45,-1
02/08/20 06:47:45,5
02/08/20 06:48:45,16
02/08/20 06:49:46,-1
02/08/20 06:50:46,21
02/08/20 06:51:46,0
02/08/20 06:52:46,-18
02/08/20 06:53:46,20
02/08/20 06:54:46,1
02/08/20 06:55:47,-4
02/08/20 06:56:47,-1
02/08/20 06:57:47,-1
02/08/20 06:58:47,-22
02/08/20 06:59:47,-30
02/08/20 07:00:47,-10
02/08/20 07:01:47,-6
02/08/20 07:02:48,0
02/08/20 07:03:48,0
02/08/20 07:04:48,11
02/08/20 07:05:48,0
02/08/20 07:06:48,2
02/08/20 07:07:48,-3
02/08/20 07:08:49,-6
02/08/20 07:09:49,33
02/08/20 07:10:49,0
02/08/20 07:11:49,0
02/08/20 07:12:49,-5
02/08/20 07:13:49,0
02/08/20 07:14:49,-14
02/08/20 07:15:50,1
02/08/20 07:16:50,18
02/08/20 07:17:50,-7
02/08/20 07:18:50,-27
02/08/20 07:19:50,-4
02/08/20 07:20:50,0
02/08/20 07:21:51,0
02/08/20 07:22:51,-11
02/08/20 07:23:51,-37
02/08/20 07:24:51,-17
02/08/20 07:25:51,63
02/08/20 07:26:51,26
02/08/20 07:27:52,1
02/08/20 07:28:52,5
02/08/20 07:29:52,32
02/08/20 07:30:52,1
02/08/20 07:31:52,-13
02/08/20 07:32:52,-38
02/08/20 07:33:52,-1
02/08/20 07:34:53,0
02/08/20 07:35:52,27
02/08/20 07:36:52,-15
02/08/20 07:37:53,-1
02/08/20 07:38:53,-1
02/08/20 07:39:53,-10
02/08/20 07:40:53,-7
02/08/20 07:41:53,2
02/08/20 07:42:53,-25
02/08/20 07:43:54,-1
02/08/20 07:44:54,3
02/08/20 07:45:54,-15
02/08/20 07:46:54,0
02/08/20 07:47:54,4
02/08/20 07:48:54,11
02/08/20 07:49:54,0
