timestamp,Infrared to Red Signal Ratio
02/19/20 00:43:01,1
02/19/20 00:44:02,0
02/19/20 00:45:02,-5
02/19/20 00:46:02,24
02/19/20 00:47:02,-1
02/19/20 00:48:02,2
02/19/20 00:49:02,-1
02/19/20 00:50:03,-16
02/19/20 00:51:03,-9
02/19/20 00:52:03,-1
02/19/20 00:53:03,0
02/19/20 00:54:04,0
02/19/20 00:55:04,2
02/19/20 00:56:04,-5
02/19/20 00:57:04,0
02/19/20 00:58:04,-1
02/19/20 00:59:04,0
02/19/20 01:00:05,-4
02/19/20 01:01:05,-10
02/19/20 01:02:05,-26
02/19/20 01:03:05,1
02/19/20 01:04:05,-40
02/19/20 01:05:05,-11
02/19/20 01:06:05,-9
02/19/20 01:07:06,-11
02/19/20 01:08:06,22
02/19/20 01:09:06,1
02/19/20 01:10:06,-1
02/19/20 01:11:06,-5
02/19/20 01:12:06,-57
02/19/20 01:13:07,0
02/19/20 01:14:07,1
02/19/20 01:15:07,0
02/19/20 01:16:07,32
02/19/20 01:17:07,7
02/19/20 01:18:07,1
02/19/20 01:19:07,-7
02/19/20 01:20:08,-1
02/19/20 01:21:08,2
02/19/20 01:22:08,3
02/19/20 01:23:08,23
02/19/20 01:24:08,-1
02/19/20 01:25:08,-1
02/19/20 01:26:08,5
02/19/20 01:27:08,-9
02/19/20 01:28:08,0
02/19/20 01:29:08,0
02/19/20 01:30:09,1
02/19/20 01:31:09,1
02/19/20 01:32:09,1
02/19/20 01:33:09,7
02/19/20 01:34:09,-1
02/19/20 01:35:09,-1
02/19/20 01:36:10,-16
02/19/20 01:37:10,21
02/19/20 01:38:10,0
02/19/20 01:39:10,0
02/19/20 01:40:10,-10
02/19/20 01:41:10,-1
02/19/20 01:42:11,-1
02/19/20 01:43:11,13
02/19/20 01:44:11,9
02/19/20 01:45:11,21
02/19/20 01:46:11,29
02/19/20 01:47:12,-71
02/19/20 01:48:12,-1
02/19/20 01:49:12,-1
02/19/20 01:50:12,0
02/19/20 01:51:12,-13
02/19/20 01:52:12,10
02/19/20 01:53:13,-7
02/19/20 01:54:13,1
02/19/20 01:55:13,0
02/19/20 01:56:13,0
02/19/20 01:57:13,1
02/19/20 01:58:13,50
02/19/20 01:59:13,0
02/19/20 02:00:13,1
02/19/20 02:01:14,6
02/19/20 02:02:14,8
02/19/20 02:03:14,2
02/19/20 02:04:14,14
02/19/20 02:05:14,-57
02/19/20 02:06:14,-9
02/19/20 02:07:14,-21
02/19/20 02:08:15,8
02/19/20 02:09:15,-12
02/19/20 02:10:15,0
02/19/20 02:11:15,4
02/19/20 02:12:15,-52
02/19/20 02:13:15,37
02/19/20 02:14:16,-1
02/19/20 02:15:17,-1
02/19/20 02:16:17,-2
02/19/20 02:17:17,-1
02/19/20 02:18:17,-1
02/19/20 02:19:17,-1
02/19/20 02:20:17,-1
02/19/20 02:21:17,-1
02/19/20 02:22:18,19
02/19/20 02:23:18,-11
02/19/20 02:24:18,7
02/19/20 02:25:18,0
02/19/20 02:26:18,12
02/19/20 02:27:18,39
02/19/20 02:28:19,15
02/19/20 02:29:19,-1
02/19/20 02:30:19,12
02/19/20 02:31:19,22
02/19/20 02:32:19,-12
02/19/20 02:33:19,-23
02/19/20 02:34:19,-31
02/19/20 02:35:19,4
02/19/20 02:36:20,-14
02/19/20 02:37:20,24
02/19/20 02:38:20,-51
02/19/20 02:39:20,0
02/19/20 02:40:20,-7
02/19/20 02:41:20,-7
02/19/20 02:42:20,13
02/19/20 02:43:21,2
02/19/20 02:44:21,3
02/19/20 02:45:21,3
02/19/20 02:46:21,21
02/19/20 02:47:21,0
02/19/20 02:48:22,-8
02/19/20 02:49:22,-6
02/19/20 02:50:22,-2
02/19/20 02:51:22,0
02/19/20 02:52:22,-1
02/19/20 02:53:22,-4
02/19/20 02:54:23,0
02/19/20 02:55:26,-1
02/19/20 02:56:26,-10
02/19/20 02:57:26,-9
02/19/20 02:58:26,-7
02/19/20 02:59:26,-1
02/19/20 03:00:26,-39
02/19/20 03:01:27,0
02/19/20 03:02:29,8
02/19/20 03:03:30,7
02/19/20 03:04:30,-1
02/19/20 03:05:30,8
02/19/20 03:06:30,0
02/19/20 03:07:30,12
02/19/20 03:08:30,-16
02/19/20 03:09:30,-1
02/19/20 03:10:31,0
02/19/20 03:11:31,1
02/19/20 03:12:31,4
02/19/20 03:13:31,-20
02/19/20 03:14:31,-3
02/19/20 03:15:31,1
02/19/20 03:16:32,2
02/19/20 03:17:32,-4
02/19/20 03:18:32,3
02/19/20 03:19:32,-1
02/19/20 03:20:32,-1
02/19/20 03:21:32,0
02/19/20 03:22:33,8
02/19/20 03:23:33,-2
02/19/20 03:24:33,-1
02/19/20 03:25:33,56
02/19/20 03:26:33,9
02/19/20 03:27:33,3
02/19/20 03:28:34,0
02/19/20 03:29:34,0
02/19/20 03:30:34,0
02/19/20 03:31:34,-2
02/19/20 03:32:34,-2
02/19/20 03:33:34,0
02/19/20 03:34:35,2
02/19/20 03:35:35,0
02/19/20 03:36:35,0
02/19/20 03:37:35,4
02/19/20 03:38:35,-12
02/19/20 03:39:35,0
02/19/20 03:40:35,4
02/19/20 03:41:36,-4
02/19/20 03:42:36,13
02/19/20 03:43:36,37
02/19/20 03:44:36,0
02/19/20 03:45:36,29
02/19/20 03:46:36,7
02/19/20 03:47:37,46
02/19/20 03:48:37,36
02/19/20 03:49:37,32
02/19/20 03:50:37,20
02/19/20 03:51:37,0
02/19/20 03:52:37,-7
02/19/20 03:53:37,-9
02/19/20 03:54:37,0
02/19/20 03:55:38,16
02/19/20 03:56:38,-1
02/19/20 03:57:38,-1
02/19/20 03:58:38,19
02/19/20 03:59:38,5
02/19/20 04:00:38,0
02/19/20 04:01:39,-3
02/19/20 04:02:39,2
02/19/20 04:03:39,2
02/19/20 04:04:39,-7
02/19/20 06:09:01,2
02/19/20 06:10:02,0
02/19/20 06:11:02,0
02/19/20 06:12:02,6
02/19/20 06:13:02,0
02/19/20 06:14:02,49
02/19/20 06:15:03,-1
02/19/20 06:16:03,-1
02/19/20 06:17:03,3
02/19/20 06:18:03,-2
02/19/20 06:19:03,-1
02/19/20 06:20:03,-2
02/19/20 06:21:03,-4
02/19/20 06:22:04,0
02/19/20 06:23:04,-1
02/19/20 06:24:04,-13
02/19/20 06:25:04,1
02/19/20 06:26:04,-1
02/19/20 06:27:04,0
02/19/20 06:28:05,-10
02/19/20 06:29:05,-2
02/19/20 06:30:05,-8
02/19/20 06:31:05,13
02/19/20 06:32:05,10
02/19/20 06:33:05,50
02/19/20 06:34:06,4
02/19/20 06:35:06,5
02/19/20 06:36:06,0
02/19/20 06:37:06,0
02/19/20 06:38:06,-4
02/19/20 06:39:06,-10
02/19/20 06:40:07,0
02/19/20 06:41:07,10
02/19/20 06:42:07,-3
02/19/20 06:43:07,-2
02/19/20 06:44:07,-1
02/19/20 06:45:07,0
02/19/20 06:46:07,-15
02/19/20 06:47:07,-1
02/19/20 06:48:07,-1
02/19/20 06:49:07,-3
02/19/20 06:50:08,11
02/19/20 06:51:08,1
02/19/20 06:52:08,0
02/19/20 06:53:08,0
02/19/20 06:54:08,-1
02/19/20 06:55:08,2
02/19/20 06:56:09,-13
02/19/20 06:57:09,-1
02/19/20 06:58:09,4
02/19/20 06:59:09,6
02/19/20 07:00:09,1
02/19/20 07:01:09,-1
02/19/20 07:02:10,0
02/19/20 07:03:10,-8
02/19/20 07:04:10,0
02/19/20 07:05:11,1
02/19/20 07:06:11,1
02/19/20 07:07:11,-5
02/19/20 07:08:11,5
02/19/20 07:09:11,-2
02/19/20 07:10:11,0
02/19/20 07:11:12,0
02/19/20 07:12:12,3
02/19/20 07:13:12,8
02/19/20 07:14:12,1
02/19/20 07:15:12,0
02/19/20 07:16:12,0
02/19/20 07:58:31,3
02/19/20 07:59:31,1
02/19/20 08:00:31,16
02/19/20 08:01:31,40
02/19/20 08:02:31,37
02/19/20 08:03:31,13
02/19/20 08:04:32,20
02/19/20 08:05:32,60
02/19/20 08:06:32,33
02/19/20 08:07:32,-5
02/19/20 08:08:32,2
02/19/20 08:09:32,-11
02/19/20 08:10:33,-7
02/19/20 08:11:33,-23
